Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Standard5	Standard	F1		Checked	576.17	4115.25	16.17	238.15	83.77	71.67	226.91	1893.15	200.99	145.06	71.42	166.30	73.52	51.73	18.77	388.21	240.00	132.10	393.83	25.12	64.20	124.38	8.64	43.70	30.62	112.47	23.46	135.06	100.37	8.09	69.38	76.79	23.64	15.80	21.73	31.85	178.46	191.23	36.42	590.37	5.19	30.12	59.94	141.05	2258.83	68.33	110.74	3.46	229.26	58.58
Standard5	Standard	F2		Checked	576.17	4115.25	16.17	238.15	83.77	71.67	226.91	1893.15	200.99	145.06	71.42	166.30	73.52	51.73	18.77	388.21	240.00	132.10	393.83	25.12	64.20	124.38	8.64	43.70	30.62	112.47	23.46	135.06	100.37	8.09	69.38	76.79	23.64	15.80	21.73	31.85	178.46	191.23	36.42	590.37	5.19	30.12	59.94	141.05	2258.83	68.33	110.74	3.46	229.26	58.58
Standard6	Standard	G1		Checked	192.06	1371.75	5.39	79.38	27.92	23.89	75.64	631.05	67.00	48.35	23.81	55.43	24.51	17.24	6.26	129.40	80.00	44.03	131.28	8.37	21.40	41.46	2.88	14.57	10.21	37.49	7.82	45.02	33.46	2.70	23.13	25.60	7.88	5.27	7.24	10.62	59.49	63.74	12.14	196.79	1.73	10.04	19.98	47.02	752.94	22.78	36.91	1.15	76.42	19.53
Standard6	Standard	G2		Checked	192.06	1371.75	5.39	79.38	27.92	23.89	75.64	631.05	67.00	48.35	23.81	55.43	24.51	17.24	6.26	129.40	80.00	44.03	131.28	8.37	21.40	41.46	2.88	14.57	10.21	37.49	7.82	45.02	33.46	2.70	23.13	25.60	7.88	5.27	7.24	10.62	59.49	63.74	12.14	196.79	1.73	10.04	19.98	47.02	752.94	22.78	36.91	1.15	76.42	19.53
Standard7	Standard	H1		Checked	64.02	457.25	1.80	26.46	9.31	7.96	25.21	210.35	22.33	16.12	7.94	18.48	8.17	5.75	2.09	43.13	26.67	14.68	43.76	2.79	7.13	13.82	0.96	4.86	3.40	12.50	2.61	15.01	11.15	0.90	7.71	8.53	2.63	1.76	2.41	3.54	19.83	21.25	4.05	65.60	0.58	3.35	6.66	15.67	250.98	7.59	12.30	0.38	25.47	6.51
Standard7	Standard	H2		Checked	64.02	457.25	1.80	26.46	9.31	7.96	25.21	210.35	22.33	16.12	7.94	18.48	8.17	5.75	2.09	43.13	26.67	14.68	43.76	2.79	7.13	13.82	0.96	4.86	3.40	12.50	2.61	15.01	11.15	0.90	7.71	8.53	2.63	1.76	2.41	3.54	19.83	21.25	4.05	65.60	0.58	3.35	6.66	15.67	250.98	7.59	12.30	0.38	25.47	6.51
Unknown1	Unknown	A3		Checked																																																		
Unknown1	Unknown	A5		Checked																																																		
Unknown2	Unknown	B3		Checked																																																		
Unknown2	Unknown	B5		Checked																																																		
Unknown3	Unknown	C3		Indeterminate																																																		
Unknown3	Unknown	C5		Checked																																																		
Unknown4	Unknown	D3		Checked																																																		
Unknown4	Unknown	D5		Checked																																																		
Unknown5	Unknown	E3		Checked																																																		
Unknown5	Unknown	E5		Checked																																																		
Unknown6	Unknown	F3		Checked																																																		
Unknown6	Unknown	F5		Checked																																																		
Unknown7	Unknown	G3		Checked																																																		
Unknown7	Unknown	G5		Checked																																																		
Unknown8	Unknown	H3		Checked																																																		
Unknown8	Unknown	H5		Checked																																																		
Unknown9	Unknown	A4		Checked																																																		
Unknown9	Unknown	A6		Checked																																																		
Unknown10	Unknown	B4		Checked																																																		
Unknown10	Unknown	B6		Checked																																																		
Unknown11	Unknown	C4		Indeterminate																																																		
Unknown11	Unknown	C6		Checked																																																		
Unknown12	Unknown	D4		Checked																																																		
Unknown12	Unknown	D6		Checked																																																		
Unknown13	Unknown	E4		Checked																																																		
Unknown13	Unknown	E6		Checked																																																		
Unknown14	Unknown	F4		Checked																																																		
Unknown14	Unknown	F6		Checked																																																		
Unknown15	Unknown	G4		Indeterminate																																																		
Unknown15	Unknown	G6		Checked																																																		
Unknown16	Unknown	H4		Checked																																																		
Unknown16	Unknown	H6		Checked																																																		
